"","Location.Name","Rate.Year","Cohort.Graduation.Year","Total.Cohort","Total.Graduated","OffTrack.Other","Dropouts","Graduation.Rate","Dropout.Rate","gradyear","enrollyear"
"796","Hope of Detroit Academy (82957)","4-Year",2012,14,11,2,1,0.7143,0.0714,2012,2008
"797","Hope of Detroit Academy (82957)","6-Year",2010,10,9,0,1,0.9,0.1,2012,2006
"798","Life Skills Center of Metropolitan Detroit (82978)","5-Year",2011,52,3,0,49,0.0385,0.9423,2012,2007
"799","Life Skills Center of Metropolitan Detroit (82978)","6-Year",2010,119,11,1,107,0.0924,0.8908,2012,2006
"800","Marvin L. Winans Academy of Performing Arts (82924)","4-Year",2012,40,36,1,3,0.9,0.075,2012,2008
"801","Marvin L. Winans Academy of Performing Arts (82924)","5-Year",2011,45,44,-1,2,0.9556,0.0444,2012,2007
"802","Marvin L. Winans Academy of Performing Arts (82924)","6-Year",2010,44,40,0,4,0.8864,0.0909,2012,2006
"803","Michigan Health Academy (82917)","5-Year",2011,50,47,0,3,0.94,0.06,2012,2007
"804","Michigan Health Academy (82917)","6-Year",2010,39,32,-1,8,0.8205,0.1795,2012,2006
"805","Michigan Technical Academy (82907)","6-Year",2010,87,67,-1,21,0.7701,0.2299,2012,2006
"806","Oakland International Academy (63912)","4-Year",2012,23,21,2,0,0.913,0,2012,2008
"807","Oakland International Academy (63912)","5-Year",2011,24,20,-1,5,0.8333,0.1667,2012,2007
"808","Oakland International Academy (63912)","6-Year",2010,29,25,-1,5,0.8276,0.1724,2012,2006
"809","Old Redford Academy (82956)","4-Year",2012,183,165,5,13,0.8962,0.071,2012,2008
"810","Old Redford Academy (82956)","5-Year",2011,144,133,-1,12,0.9236,0.0764,2012,2007
"811","Old Redford Academy (82956)","6-Year",2010,129,116,-1,14,0.8915,0.1085,2012,2006
"812","Plymouth Educational Center Charter School (82904)","4-Year",2012,118,112,3,3,0.9407,0.0254,2012,2008
"813","Riverside Academy (82975)","4-Year",2012,51,51,0,0,0.9804,0,2012,2008
"814","Riverside Academy (82975)","5-Year",2011,48,48,-1,1,0.9792,0.0208,2012,2007
"815","Riverside Academy (82975)","6-Year",2010,34,34,0,0,0.9706,0,2012,2006
"816","Ross-Hill Academy (82948)","4-Year",2012,23,16,0,7,0.6522,0.3043,2012,2008
"817","Ross-Hill Academy (82948)","5-Year",2011,20,15,0,5,0.75,0.25,2012,2007
"818","Ross-Hill Academy (82948)","6-Year",2010,24,23,-1,2,0.9167,0.0833,2012,2006
"819","Star International Academy (82941)","4-Year",2012,73,65,2,6,0.8904,0.0685,2012,2008
"820","Star International Academy (82941)","5-Year",2011,82,73,-1,10,0.8902,0.1098,2012,2007
"821","Star International Academy (82941)","6-Year",2010,60,50,-1,11,0.8167,0.1833,2012,2006
"822","Summit Academy North (82938)","4-Year",2012,139,135,0,4,0.9712,0.0216,2012,2008
"823","Summit Academy North (82938)","5-Year",2011,102,98,-1,5,0.951,0.049,2012,2007
"824","Summit Academy North (82938)","6-Year",2010,108,102,-1,7,0.9352,0.0648,2012,2006
"825","Trillium Academy (82973)","4-Year",2012,52,49,0,3,0.9231,0.0385,2012,2008
"826","Trillium Academy (82973)","5-Year",2011,45,44,0,1,0.9556,0.0222,2012,2007
"827","Trillium Academy (82973)","6-Year",2010,31,30,-1,2,0.9355,0.0645,2012,2006
"828","Universal Academy (82950)","4-Year",2012,45,44,-1,2,0.9556,0.0444,2012,2008
"829","Universal Academy (82950)","5-Year",2011,34,34,-1,1,0.9706,0.0294,2012,2007
"830","Universal Academy (82950)","6-Year",2010,24,23,-1,2,0.9167,0.0833,2012,2006
"831","University Preparatory Academy (PSAD) (82702)","4-Year",2012,129,120,1,8,0.9225,0.0543,2012,2008
"832","University Preparatory Academy (PSAD) (82702)","5-Year",2011,119,118,0,1,0.9832,0.0084,2012,2007
"833","University Preparatory Academy (PSAD) (82702)","6-Year",2010,117,113,1,3,0.9658,0.0256,2012,2006
"834","Vista Meadows Academy (82716)","4-Year",2012,28,15,8,5,0.5357,0.1429,2012,2008
"835","Vista Meadows Academy (82716)","5-Year",2011,20,10,2,8,0.5,0.4,2012,2007
"836","Vista Meadows Academy (82716)","6-Year",2010,16,8,3,5,0.5,0.3125,2012,2006
"837","Voyageur Academy (82940)","4-Year",2012,92,71,16,5,0.7717,0.0543,2012,2008
"838","Voyageur Academy (82940)","5-Year",2011,98,91,-1,8,0.9184,0.0816,2012,2007
