"","ENROLL_YEAR","ZIP","NUM_SCHOOLS","NUM_COHORT","NUM_GRADUATES","NUM_DROPOUTS","COHORT_GRAD_YEAR","GRAD_RATE","DROP_RATE"
"263",2008,48208,2,273,64,140,2012,0.234432234432234,0.512820512820513
"264",2009,48208,1,376,74,247,2013,0.196808510638298,0.656914893617021
"265",2010,48208,1,331,68,198,2014,0.205438066465257,0.598187311178248
"266",2011,48208,1,255,14,144,2015,0.0549019607843137,0.564705882352941
"267",2003,48209,1,106,59,48,2007,0.556603773584906,0.452830188679245
"268",2004,48209,1,115,81,35,2008,0.704347826086957,0.304347826086957
"269",2005,48209,1,138,91,48,2009,0.659420289855073,0.347826086956522
"270",2006,48209,1,121,93,28,2010,0.768595041322314,0.231404958677686
"271",2007,48209,2,149,109,26,2011,0.731543624161074,0.174496644295302
"272",2008,48209,2,174,127,33,2012,0.729885057471264,0.189655172413793
"273",2009,48209,2,248,153,71,2013,0.616935483870968,0.286290322580645
"274",2010,48209,2,319,178,96,2014,0.557993730407524,0.300940438871473
"275",2011,48209,2,317,160,88,2015,0.504731861198738,0.277602523659306
"276",2003,48210,4,216,150,67,2007,0.694444444444444,0.310185185185185
"277",2004,48210,3,222,144,78,2008,0.648648648648649,0.351351351351351
"278",2005,48210,4,179,122,58,2009,0.681564245810056,0.324022346368715
"279",2006,48210,4,138,111,25,2010,0.804347826086957,0.181159420289855
"280",2007,48210,2,133,125,9,2011,0.93984962406015,0.0676691729323308
"281",2008,48210,3,151,128,24,2012,0.847682119205298,0.158940397350993
"282",2009,48210,2,149,131,13,2013,0.879194630872483,0.087248322147651
"283",2010,48210,2,164,151,14,2014,0.920731707317073,0.0853658536585366
"284",2011,48210,2,153,126,15,2015,0.823529411764706,0.0980392156862745
"285",2003,48211,1,10,9,1,2007,0.9,0.1
"286",2004,48211,1,16,12,3,2008,0.75,0.1875
"287",2005,48211,1,20,19,1,2009,0.95,0.05
"288",2006,48211,1,29,25,6,2010,0.862068965517241,0.206896551724138
"289",2007,48211,1,25,20,5,2011,0.8,0.2
"290",2008,48211,1,23,22,0,2012,0.956521739130435,0
"291",2009,48211,1,31,26,5,2013,0.838709677419355,0.161290322580645
"292",2010,48211,1,52,46,9,2014,0.884615384615385,0.173076923076923
"293",2011,48211,1,57,49,0,2015,0.859649122807018,0
"294",2003,48212,1,235,161,73,2007,0.685106382978723,0.31063829787234
"295",2004,48212,2,266,174,86,2008,0.654135338345865,0.323308270676692
"296",2005,48212,2,317,201,99,2009,0.634069400630915,0.312302839116719
"297",2006,48212,2,347,236,99,2010,0.680115273775216,0.285302593659942
"298",2007,48212,2,299,209,84,2011,0.698996655518395,0.280936454849498
"299",2008,48212,2,275,192,80,2012,0.698181818181818,0.290909090909091
"300",2009,48212,2,392,262,119,2013,0.668367346938776,0.303571428571429
"301",2010,48212,2,406,302,92,2014,0.74384236453202,0.226600985221675
"302",2011,48212,2,385,306,49,2015,0.794805194805195,0.127272727272727
"303",2003,48214,1,166,50,111,2007,0.301204819277108,0.668674698795181
"304",2004,48214,1,201,42,147,2008,0.208955223880597,0.73134328358209
"305",2005,48214,1,218,56,152,2009,0.256880733944954,0.697247706422018
"306",2006,48214,1,156,37,102,2010,0.237179487179487,0.653846153846154
"307",2007,48214,1,152,27,104,2011,0.177631578947368,0.684210526315789
"308",2008,48214,1,135,26,66,2012,0.192592592592593,0.488888888888889
"309",2009,48214,2,137,12,60,2013,0.0875912408759124,0.437956204379562
"310",2010,48214,2,29,0,17,2014,0,0.586206896551724
"311",2011,48214,2,39,1,17,2015,0.0256410256410256,0.435897435897436
"312",2003,48216,2,166,51,113,2007,0.307228915662651,0.680722891566265
"313",2004,48216,2,228,48,174,2008,0.210526315789474,0.763157894736842
"314",2005,48216,2,206,37,158,2009,0.179611650485437,0.766990291262136
"315",2006,48216,2,210,50,139,2010,0.238095238095238,0.661904761904762
"316",2007,48216,2,190,43,122,2011,0.226315789473684,0.642105263157895
"317",2008,48216,2,188,37,102,2012,0.196808510638298,0.542553191489362
"318",2009,48216,2,152,30,75,2013,0.197368421052632,0.493421052631579
"319",2010,48216,2,61,15,40,2014,0.245901639344262,0.655737704918033
"320",2003,48218,1,136,108,27,2007,0.794117647058823,0.198529411764706
"321",2004,48218,1,116,75,38,2008,0.646551724137931,0.327586206896552
"322",2005,48218,1,124,86,34,2009,0.693548387096774,0.274193548387097
"323",2006,48218,1,90,59,18,2010,0.655555555555556,0.2
"324",2007,48218,1,98,51,34,2011,0.520408163265306,0.346938775510204
"325",2008,48218,1,142,88,42,2012,0.619718309859155,0.295774647887324
"326",2009,48218,1,122,92,23,2013,0.754098360655738,0.188524590163934
"327",2010,48218,1,179,140,30,2014,0.782122905027933,0.167597765363128
"328",2011,48218,1,149,114,24,2015,0.76510067114094,0.161073825503356
"329",2003,48219,2,134,108,27,2007,0.805970149253731,0.201492537313433
