Location.Name,Rate.Year,Cohort.Graduation.Year,Total.Cohort,Total.Graduated,OffTrack.Other,Dropouts,Graduation.Rate,Dropout.Rate,gradyear,enrollyear,School.Name,ZIP.Code,Latitude,Longitude
Blanche Kelso Bruce Academy (82971),6-Year,2009,125,3,8,114,0.024,0.912,2011,2005,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
Blanche Kelso Bruce Academy (82971),5-Year,2009,129,4,17,108,0.0233,0.8372,2010,2005,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
Casa Richard Academy (82902),4-Year,2013,31,16,8,7,0.5161,0.2258,2013,2009,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),4-Year,2012,41,16,13,12,0.3902,0.2683,2012,2008,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),5-Year,2011,36,21,0,15,0.5833,0.3889,2012,2007,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),5-Year,2014,20,12,0,8,0.6,0.4,2015,2010,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),5-Year,2012,36,18,2,16,0.5,0.4167,2013,2008,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),6-Year,2010,54,34,0,20,0.6296,0.3519,2012,2006,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),4-Year,2010,59,31,11,17,0.5254,0.2881,2010,2006,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),5-Year,2009,36,16,3,17,0.4444,0.4722,2010,2005,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),6-Year,2008,36,13,-1,24,0.3611,0.6389,2010,2004,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),5-Year,2010,57,35,3,19,0.5965,0.3333,2011,2006,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),4-Year,2009,38,15,4,19,0.3947,0.4737,2009,2005,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),6-Year,2011,34,21,-1,14,0.6176,0.3824,2013,2007,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),6-Year,2012,34,19,1,14,0.5588,0.3824,2014,2008,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),6-Year,2007,40,21,0,19,0.525,0.475,2009,2003,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),6-Year,2009,36,17,-1,20,0.4722,0.5278,2011,2005,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),5-Year,2008,40,4,2,34,0.1,0.85,2009,2004,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),4-Year,2011,38,17,9,12,0.4211,0.2895,2011,2007,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),5-Year,2013,30,19,2,9,0.6333,0.3,2014,2009,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),6-Year,2013,29,20,0,9,0.6552,0.3103,2015,2009,Casa Richard Academy,48216,42.33168322,-83.04799903
Casa Richard Academy (82902),4-Year,2014,23,12,4,7,0.5217,0.3043,2014,2010,Casa Richard Academy,48216,42.33168322,-83.04799903
Cesar Chavez Academy (82918),4-Year,2010,114,88,5,21,0.7719,0.1842,2010,2006,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),4-Year,2013,154,131,9,14,0.8506,0.0909,2013,2009,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),5-Year,2012,138,121,-1,18,0.8696,0.1232,2013,2008,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),6-Year,2012,139,120,0,19,0.8633,0.1295,2014,2008,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),5-Year,2010,121,92,2,27,0.7603,0.2231,2011,2006,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),6-Year,2009,138,91,-1,48,0.6594,0.3406,2011,2005,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),5-Year,2009,136,91,-1,46,0.6618,0.3382,2010,2005,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),4-Year,2009,138,87,7,44,0.6232,0.3116,2009,2005,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),6-Year,2008,112,81,-1,32,0.7143,0.2768,2010,2004,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),5-Year,2014,179,158,1,20,0.8771,0.1117,2015,2010,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),6-Year,2013,151,134,0,17,0.8808,0.106,2015,2009,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),4-Year,2011,133,106,5,22,0.7895,0.1654,2011,2007,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),4-Year,2012,143,121,5,17,0.8392,0.1119,2012,2008,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),6-Year,2011,126,107,-1,20,0.8413,0.1508,2013,2007,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),5-Year,2013,153,134,2,17,0.8693,0.1111,2014,2009,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),6-Year,2007,106,59,-1,48,0.5566,0.4434,2009,2003,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),4-Year,2015,164,146,5,13,0.8902,0.0732,2015,2011,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),4-Year,2014,186,152,16,18,0.8172,0.0914,2014,2010,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),5-Year,2008,115,80,0,35,0.687,0.2957,2009,2004,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),5-Year,2011,129,106,1,22,0.8217,0.1628,2012,2007,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Cesar Chavez Academy (82918),6-Year,2010,120,93,-1,28,0.7667,0.2333,2012,2006,Cesar Chavez Academy,48209,42.33168322,-83.04799903
Chandler Park Academy (82923),5-Year,2014,147,146,-1,2,0.9864,0.0136,2015,2010,Chandler Park Academy,48225,42.43309166,-82.92339787
Chandler Park Academy (82923),4-Year,2011,160,144,2,14,0.8938,0.0813,2011,2007,Chandler Park Academy,48225,42.43309166,-82.92339787
Chandler Park Academy (82923),6-Year,2012,132,118,-1,15,0.8939,0.1061,2014,2008,Chandler Park Academy,48225,42.43309166,-82.92339787
Chandler Park Academy (82923),5-Year,2011,152,145,-1,8,0.9474,0.0526,2012,2007,Chandler Park Academy,48225,42.43309166,-82.92339787
Chandler Park Academy (82923),5-Year,2013,146,140,-1,7,0.9521,0.0479,2014,2009,Chandler Park Academy,48225,42.43309166,-82.92339787
Chandler Park Academy (82923),4-Year,2014,147,146,-1,2,0.9864,0.0136,2014,2010,Chandler Park Academy,48225,42.43309166,-82.92339787
