,ENROLL_YEAR,SCHOOL_NAME,COHORT_GRAD_YEAR,GRAD_YEAR,NUM_COHORT,NUM_GRADUATES,NUM_DROPOUTS,GRAD_RATE,DROP_RATE,ZIP,LATITUDE,LONGITUDE
194,2008,Flat Rock Community Schools,2012,2014,124,112,10,0.903225806,0.080645161,48134,42.09450377,-83.28091778
195,2009,Flat Rock Community Schools,2013,2015,156,141,11,0.903846154,0.070512821,48134,42.09450377,-83.28091778
196,2010,Flat Rock Community Schools,2014,2015,130,114,13,0.876923077,0.1,48134,42.09450377,-83.28091778
197,2011,Flat Rock Community Schools,2015,2015,152,133,8,0.875,0.052631579,48134,42.09450377,-83.28091778
198,2004,Frontier International Academy,2008,2010,25,18,5,0.72,0.2,48212,42.33168322,-83.04799903
199,2005,Frontier International Academy,2009,2011,40,30,6,0.75,0.15,48212,42.33168322,-83.04799903
200,2006,Frontier International Academy,2010,2012,42,42,0,1,0,48212,42.33168322,-83.04799903
201,2007,Frontier International Academy,2011,2013,49,46,3,0.93877551,0.06122449,48212,42.33168322,-83.04799903
202,2008,Frontier International Academy,2012,2014,53,51,3,0.962264151,0.056603774,48212,42.33168322,-83.04799903
203,2009,Frontier International Academy,2013,2015,74,72,2,0.972972973,0.027027027,48212,42.33168322,-83.04799903
204,2010,Frontier International Academy,2014,2015,88,87,2,0.988636364,0.022727273,48212,42.33168322,-83.04799903
205,2011,Frontier International Academy,2015,2015,98,98,0,1,0,48212,42.33168322,-83.04799903
206,2003,Garden City Public Schools,2007,2009,561,365,168,0.650623886,0.299465241,48135,42.32977171,-83.33110839
207,2004,Garden City Public Schools,2008,2010,571,390,149,0.683012259,0.260945709,48135,42.32977171,-83.33110839
208,2005,Garden City Public Schools,2009,2011,592,412,155,0.695945946,0.261824324,48135,42.32977171,-83.33110839
209,2006,Garden City Public Schools,2010,2012,608,398,161,0.654605263,0.264802632,48135,42.32977171,-83.33110839
210,2007,Garden City Public Schools,2011,2013,570,423,128,0.742105263,0.224561404,48135,42.32977171,-83.33110839
211,2008,Garden City Public Schools,2012,2014,608,468,117,0.769736842,0.192434211,48135,42.32977171,-83.33110839
212,2009,Garden City Public Schools,2013,2015,627,468,130,0.746411483,0.207336523,48135,42.32977171,-83.33110839
213,2010,Garden City Public Schools,2014,2015,548,399,109,0.72810219,0.198905109,48135,42.32977171,-83.33110839
214,2011,Garden City Public Schools,2015,2015,477,352,43,0.737945493,0.090146751,48135,42.32977171,-83.33110839
215,2005,George Crockett Academy,2009,2011,11,11,0,1,0,48208,42.33168322,-83.04799903
216,2006,George Crockett Academy,2010,2012,10,10,0,1,0,48208,42.33168322,-83.04799903
217,2008,George Crockett Academy,2012,2014,12,9,3,0.75,0.25,48208,42.33168322,-83.04799903
218,2003,Gibraltar School District,2007,2009,228,204,25,0.894736842,0.109649123,48183,42.1384909,-83.24478661
219,2004,Gibraltar School District,2008,2010,267,248,20,0.928838951,0.074906367,48183,42.1384909,-83.24478661
220,2005,Gibraltar School District,2009,2011,302,272,22,0.900662252,0.072847682,48183,42.1384909,-83.24478661
221,2006,Gibraltar School District,2010,2012,277,245,20,0.884476534,0.072202166,48183,42.1384909,-83.24478661
222,2007,Gibraltar School District,2011,2013,239,207,24,0.866108787,0.10041841,48183,42.1384909,-83.24478661
223,2008,Gibraltar School District,2012,2014,295,270,15,0.915254237,0.050847458,48183,42.1384909,-83.24478661
224,2009,Gibraltar School District,2013,2015,291,260,26,0.89347079,0.089347079,48183,42.1384909,-83.24478661
225,2010,Gibraltar School District,2014,2015,287,259,20,0.902439024,0.069686411,48183,42.1384909,-83.24478661
226,2011,Gibraltar School District,2015,2015,312,271,12,0.868589744,0.038461538,48183,42.1384909,-83.24478661
227,2003,Grosse Ile Township Schools,2007,2009,196,193,3,0.984693878,0.015306122,48138,42.13053221,-83.15392722
228,2004,Grosse Ile Township Schools,2008,2010,183,179,5,0.978142077,0.027322404,48138,42.13053221,-83.15392722
229,2005,Grosse Ile Township Schools,2009,2011,162,151,10,0.932098765,0.061728395,48138,42.13053221,-83.15392722
230,2006,Grosse Ile Township Schools,2010,2012,142,138,3,0.971830986,0.021126761,48138,42.13053221,-83.15392722
231,2007,Grosse Ile Township Schools,2011,2013,179,174,5,0.972067039,0.027932961,48138,42.13053221,-83.15392722
232,2008,Grosse Ile Township Schools,2012,2014,167,164,2,0.982035928,0.011976048,48138,42.13053221,-83.15392722
233,2009,Grosse Ile Township Schools,2013,2015,156,153,4,0.980769231,0.025641026,48138,42.13053221,-83.15392722
234,2010,Grosse Ile Township Schools,2014,2015,164,154,7,0.93902439,0.042682927,48138,42.13053221,-83.15392722
235,2011,Grosse Ile Township Schools,2015,2015,139,137,0,0.985611511,0,48138,42.13053221,-83.15392722
236,2003,Grosse Pointe Public Schools,2007,2009,760,739,19,0.972368421,0.025,48230,42.38641145,-82.91117847
237,2004,Grosse Pointe Public Schools,2008,2010,844,813,19,0.963270142,0.022511848,48230,42.38641145,-82.91117847
238,2005,Grosse Pointe Public Schools,2009,2011,792,763,17,0.963383838,0.021464646,48230,42.38641145,-82.91117847
239,2006,Grosse Pointe Public Schools,2010,2012,771,737,24,0.955901427,0.031128405,48230,42.38641145,-82.91117847
240,2007,Grosse Pointe Public Schools,2011,2013,749,715,24,0.954606142,0.032042724,48230,42.38641145,-82.91117847
241,2008,Grosse Pointe Public Schools,2012,2014,739,703,16,0.951285521,0.02165088,48230,42.38641145,-82.91117847
242,2009,Grosse Pointe Public Schools,2013,2015,733,696,20,0.94952251,0.02728513,48230,42.38641145,-82.91117847
